checkpoint,scope,group_count,left_microbatch_count,right_microbatch_count,spearman,topk_overlap
step-000000,parameter,14067712,8,16,0.46937553527267534,0.8559126852112496
step-000000,layer,9,8,16,1.0,1.0
step-000000,module,9,8,16,1.0,1.0
step-000000,parameter,14067712,16,32,0.5008845501819242,0.9075870148112132
step-000000,layer,9,16,32,1.0,1.0
step-000000,module,9,16,32,1.0,1.0
step-000001,parameter,14067712,8,16,0.5076495671421909,0.7996562342725048
step-000001,layer,9,8,16,0.9833333333333333,1.0
step-000001,module,9,8,16,1.0,1.0
step-000001,parameter,14067712,16,32,0.5512305366267342,0.8616534875587515
step-000001,layer,9,16,32,1.0,1.0
step-000001,module,9,16,32,1.0,1.0
step-000002,parameter,14067712,8,16,0.5038945892865568,0.767457697480473
step-000002,layer,9,8,16,1.0,1.0
step-000002,module,9,8,16,1.0,1.0
step-000002,parameter,14067712,16,32,0.5605521979931968,0.8407488917891457
step-000002,layer,9,16,32,1.0,1.0
step-000002,module,9,16,32,1.0,1.0
step-000004,parameter,14067712,8,16,0.5057677547862227,0.7343137338531048
step-000004,layer,9,8,16,0.9833333333333333,1.0
step-000004,module,9,8,16,1.0,1.0
step-000004,parameter,14067712,16,32,0.5708269379299462,0.8239842703721711
step-000004,layer,9,16,32,1.0,1.0
step-000004,module,9,16,32,1.0,1.0
step-000008,parameter,14067712,8,16,0.5121731164358274,0.7259172061997253
step-000008,layer,9,8,16,1.0,1.0
step-000008,module,9,8,16,1.0,1.0
step-000008,parameter,14067712,16,32,0.580348435815431,0.8025422740856372
step-000008,layer,9,16,32,1.0,1.0
step-000008,module,9,16,32,1.0,1.0
step-000012,parameter,14067712,8,16,0.4718287037193218,0.651473017660289
step-000012,layer,9,8,16,1.0,1.0
step-000012,module,9,8,16,1.0,1.0
step-000012,parameter,14067712,16,32,0.542459751873289,0.7381011279724078
step-000012,layer,9,16,32,0.9833333333333333,1.0
step-000012,module,9,16,32,1.0,1.0
step-000016,parameter,14067712,8,16,0.45536816853250517,0.6138407645304286
step-000016,layer,9,8,16,0.9,1.0
step-000016,module,9,8,16,1.0,1.0
step-000016,parameter,14067712,16,32,0.535114285598787,0.7122817343535413
step-000016,layer,9,16,32,0.8833333333333333,1.0
step-000016,module,9,16,32,1.0,1.0
step-000020,parameter,14067712,8,16,0.4258633305850328,0.5938531617063746
step-000020,layer,9,8,16,0.9333333333333332,1.0
step-000020,module,9,8,16,1.0,1.0
step-000020,parameter,14067712,16,32,0.4959763758355489,0.6704796512867757
step-000020,layer,9,16,32,0.9333333333333332,1.0
step-000020,module,9,16,32,1.0,1.0
step-000026,parameter,14067712,8,16,0.408954304102461,0.5543215247389058
step-000026,layer,9,8,16,0.9333333333333332,1.0
step-000026,module,9,8,16,1.0,1.0
step-000026,parameter,14067712,16,32,0.47234422552739597,0.6266502318783712
step-000026,layer,9,16,32,0.6666666666666667,1.0
step-000026,module,9,16,32,1.0,1.0
step-000030,parameter,14067712,8,16,0.3957230017311087,0.5341007640186185
step-000030,layer,9,8,16,0.5833333333333334,1.0
step-000030,module,9,8,16,0.9333333333333332,1.0
step-000030,parameter,14067712,16,32,0.47233308143232666,0.6291040765667784
step-000030,layer,9,16,32,1.0,1.0
step-000030,module,9,16,32,1.0,1.0
