route,source_seed,score_source,scalar_count,positive_count,zero_count,negative_count,positive_fraction,zero_fraction,negative_fraction,positive_mass,negative_absolute_mass,signed_sum,absolute_mass,net_to_absolute_mass,mean,population_std,minimum,maximum
direct,1234,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.17649150408563236,0.0,0.17649150408563236,0.17649150408563236,1.0,1.428293095818627e-09,6.447077922580872e-07,5.282511101082882e-20,0.0014149610651656985
direct,1234,u_signed,123568128,122454069,0,1114059,0.9909842528325751,0.0,0.00901574716742492,0.11220548335427338,6.747089774057946e-05,0.11213801245653279,0.11227295425201396,0.9987980917008893,9.074994844668424e-10,4.06929226054532e-07,-7.62194751757761e-09,0.0008956879610195756
direct,1234,double,123568128,122061738,0,1506390,0.9878092350804246,0.0,0.012190764919575377,0.10858344897463587,0.0001531696857809922,0.10843027928885487,0.10873661866041685,0.9971827395836294,8.774939059435688e-10,3.91366623362698e-07,-2.143477040306152e-08,0.0008542433497495949
direct,1337,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.19465619640391002,0.0,0.19465619640391002,0.19465619640391002,1.0,1.5752945322916118e-09,6.931575073643763e-07,8.027709650409853e-20,0.0013766613556072116
direct,1337,u_signed,123568128,122318932,0,1249196,0.9898906294024298,0.0,0.010109370597570274,0.1324760691679854,7.806611162469483e-05,0.1323980030563607,0.13255413527961007,0.9988221248403906,1.0714575449128816e-09,4.7517893308272615e-07,-1.4681702964480792e-08,0.0009492704994045198
direct,1337,double,123568128,121659600,0,1908528,0.984554852202665,0.0,0.015445147797334925,0.133728485729371,0.00017495756051559252,0.13355352816885538,0.13390344328988657,0.9973868101339735,1.080808864959542e-09,4.775420191494018e-07,-2.9768754572501166e-08,0.0009487569332122803
direct,2027,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.1650021127209724,0.0,0.1650021127209724,0.1650021127209724,1.0,1.3353128787463092e-09,5.77911923093159e-07,1.1021389378338633e-19,0.0009926198981702328
direct,2027,u_signed,123568128,122344229,0,1223899,0.9900953504774306,0.0,0.009904649522569444,0.10277260096007848,7.219716228070771e-05,0.10270040379779777,0.1028447981223592,0.9985959977830903,8.311237327945744e-10,3.6881379374197235e-07,-5.8339786335182e-09,0.0006463970057666302
direct,2027,double,123568128,121845062,0,1723066,0.9860557408460537,0.0,0.013944259153946235,0.09885634029810542,0.00016440658935155115,0.09869193370875387,0.09902074688745696,0.996679350650861,7.986843800753692e-10,3.495067941343968e-07,-1.1309936098768958e-08,0.0006185980164445937
pretrained,1234,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.18634232598059067,0.0,0.18634232598059067,0.18634232598059067,1.0,1.5080128589517086e-09,6.787251873860645e-07,2.0820055737434275e-27,0.0010399342281743884
pretrained,1234,u_signed,123568128,122370837,0,1197291,0.990310681084365,0.0,0.009689318915634943,0.11970061165657331,4.8397567940394866e-05,0.11965221408863291,0.11974900922451369,0.9991916832004907,9.683096768175764e-10,4.454875614457341e-07,-5.292150717650657e-09,0.000671828631311655
pretrained,1234,double,123568128,121546546,0,2021582,0.9836399399042446,0.0,0.016360060095755437,0.1259793840470718,0.00011008828602100792,0.12586929576105077,0.1260894723330928,0.9982538068566074,1.018622664260567e-09,4.6449348416772347e-07,-8.999395895159523e-09,0.000696855946443975
pretrained,1337,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.18734719586858226,0.0,0.18734719586858226,0.18734719586858226,1.0,1.5161449712063475e-09,6.84489345833089e-07,2.6587516808304234e-27,0.0009928991785272956
pretrained,1337,u_signed,123568128,122319093,0,1249035,0.989891932327404,0.0,0.010108067672595963,0.1196601666702642,4.4220509545681026e-05,0.11961594616071854,0.11970438717980988,0.9992611714476387,9.680161712955508e-10,4.4461888351390325e-07,-3.3713409841595876e-09,0.0006199791678227484
pretrained,1337,double,123568128,121218225,0,2349903,0.9809829359881539,0.0,0.019017064011846163,0.12238462637360004,9.811883616359352e-05,0.12228650753743643,0.12248274520976365,0.9983978341439755,9.89628227898997e-10,4.521715506798297e-07,-7.454854511479425e-09,0.0006225152174010873
pretrained,2027,u_positive,123568128,123568128,0,0,1.0,0.0,0.0,0.19414917659678613,0.0,0.19414917659678613,0.19414917659678613,1.0,1.5711913722346439e-09,6.984789635098188e-07,3.716467398870038e-27,0.0010091562289744616
pretrained,2027,u_signed,123568128,122358009,0,1210119,0.9902068679069088,0.0,0.009793132093091189,0.12711743557377125,4.6081207694576023e-05,0.12707135436607672,0.12716351678146587,0.9992752448365554,1.0283505659815185e-09,4.62315438753746e-07,-5.92458038184418e-09,0.0006538998568430543
pretrained,2027,double,123568128,121414518,0,2153610,0.9825714766836963,0.0,0.0174285233163037,0.12163200126676103,0.00010190300904779407,0.12153009825771324,0.12173390427580884,0.9983258072653791,9.83506833232217e-10,4.416067845995611e-07,-9.009613499699753e-09,0.0006245391559787095
